paper_id,paper,condition,expected,status,observed,gap
perna_2012,Perna et al. 2012,single_food_trail,Local pheromone following should create food-trail recruitment and measurable trail reinforcement.,partial,"{""mean_food_trips"": 49.333, ""mean_food_collected"": 253.667, ""mean_food_pheromone"": 47550.0, ""mean_following_food_trail"": 59.667}","Matches trail reinforcement qualitatively, but the model does not yet export turn-angle vs. local left/right pheromone samples, so Weber-law response cannot be quantitatively tested."
ramirez_2018,Ramirez et al. 2018,tropotaxis_gradient_response_proxy,A gradient-sensitive pheromone response should yield recruitment to newly found food sources and colony-level trail networks.,partial,"{""mean_food_trips"": 49.333, ""mean_food_collected"": 253.667, ""mean_food_pheromone"": 47550.0, ""mean_following_food_trail"": 59.667}","The model uses left/right/front sampling and forms trails, but does not yet export local gradient vectors or per-step orientation changes needed to fit the tropotaxis equations."
amorim_2014,Amorim 2014,rain_food_removal_washout,Food-trail field should rise during exploitation and decay when food is removed or chemical field is washed out.,pass,"{""mean_food_pheromone_ratio"": 0.0, ""mean_nest_pheromone_ratio"": 0.0027}","Trail formation and decay are represented, but the simulator is an ABM with heuristic field units rather than Amorim's calibrated PDE chemotaxis variables."
deneubourg_goss_bridge,Deneubourg/Goss/Beckers double-bridge paradigm,double_bridge_upper_bias,A connected initial trail bias should increase selection of the biased bridge through positive feedback.,partial,"{""upper_selected_fraction"": 0.667, ""mean_dominance"": 0.1543, ""mean_food_trips"": 14.0}","Direction is testable, but validation still lacks digitized branch-choice probability curves from the original experiments."
dussutour_2004,Dussutour et al. 2004,crowding_bridge_density_shift,Crowded foragers should use alternative traffic organization before food-return throughput collapses.,pass,"{""low_mean_dominance"": 0.0623, ""high_mean_dominance"": 0.0896, ""low_mean_crossings"": 221.333, ""high_mean_crossings"": 673.0, ""low_avg_traffic_load"": 0.0177, ""high_avg_traffic_load"": 0.232}","The model has traffic load and detours, but lacks explicit antennal contacts, lane discipline and collision-avoidance rules measured in crowded ant trails."
john_2009,John et al. 2009,no_jam_density_speed,"Increasing trail density should not create a hard jammed phase; movement should degrade mildly, not collapse.",pass,"{""low_mean_displacement"": 231.4993, ""high_mean_displacement"": 151.1841, ""high_vs_low_displacement_ratio"": 0.6531, ""low_food_trips"": 0.0, ""high_food_trips"": 0.0}",This is only a displacement proxy. Proper validation needs trail-segment speed/flow-density measurements and body-contact rules.
shiraishi_2018,Shiraishi et al. 2018,stochasticity_relocation,A heterogeneous stochasticity distribution should improve adaptation after food relocation under some environments.,partial,"{""diverse"": {""mean_initial_food_trips"": 31.0, ""mean_relocated_early_trips"": 12.667, ""mean_trips_vs_initial"": 0.3873}, ""high"": {""mean_initial_food_trips"": 13.0, ""mean_relocated_early_trips"": 6.333, ""mean_trips_vs_initial"": 0.4973}, ""low"": {""mean_initial_food_trips"": 103.333, ""mean_relocated_early_trips"": 38.333, ""mean_trips_vs_initial"": 0.3732}, ""medium"": {""mean_initial_food_trips"": 38.0, ""mean_relocated_early_trips"": 3.333, ""mean_trips_vs_initial"": 0.1809}}",The current check measures relative relocation adaptation. It does not yet fit the paper's environment-dependent optimal stochasticity distribution.
malickova_2015,"Malickova, Yates & Bodova 2015",two-cue adaptation proxy,Random motion plus pheromone signalling should permit adaptation to changed external conditions.,partial,"{""relocation_profiles"": {""diverse"": {""mean_initial_food_trips"": 31.0, ""mean_relocated_early_trips"": 12.667, ""mean_trips_vs_initial"": 0.3873}, ""high"": {""mean_initial_food_trips"": 13.0, ""mean_relocated_early_trips"": 6.333, ""mean_trips_vs_initial"": 0.4973}, ""low"": {""mean_initial_food_trips"": 103.333, ""mean_relocated_early_trips"": 38.333, ""mean_trips_vs_initial"": 0.3732}, ""medium"": {""mean_initial_food_trips"": 38.0, ""mean_relocated_early_trips"": 3.333, ""mean_trips_vs_initial"": 0.1809}}, ""washout"": {""mean_food_pheromone_ratio"": 0.0, ""mean_nest_pheromone_ratio"": 0.0027}}","The simulator separates food/nest/water fields, but it is not yet the exact two-pheromone mathematical model and lacks direct synchronization metrics."
kang_theraulaz_2015,Kang & Theraulaz 2015,task_demand_reallocation,"Task allocation should shift with external task demand: brood demand should recruit brood work, resource shortage should recruit food/water work.",pass,"{""brood_condition_mean_task_brood"": 243.0, ""resource_condition_mean_task_brood"": 0.0, ""brood_condition_mean_food_water_tasks"": 0.0, ""resource_condition_mean_food_water_tasks"": 241.667, ""brood_condition_mean_brood_total"": 418.333, ""resource_condition_mean_food_trips"": 4.0, ""resource_condition_mean_water_trips"": 8.333}","The model has response-threshold-like task switching, but does not yet estimate worker-worker contact matrices or explicit task-switching rates."
afek_2015,"Afek, Kecher & Sulamy 2015",fail_stop_foraging_resilience,"After a fraction of ants fail-stop, remaining ants should still be able to forage, with reduced but nonzero throughput.",pass,"{""control_mean_food_trips"": 7.667, ""mass_death_mean_food_trips"": 3.0, ""trip_resilience_ratio"": 0.3913, ""mass_death_mean_dead_after_shock"": 109.667, ""mass_death_mean_corpse_moves"": 97.667, ""mass_death_mean_disposed_corpses"": 98.667}","Afek et al. is an algorithmic pheromone model; this ABM only tests biological-style degradation, not asymptotic pheromone lower bounds or proof-level optimality."
jimenez_romero_2015,Jimenez-Romero et al. 2015,negative_pheromone_forbidden_path,A second negative pheromone should reduce use of forbidden or unrewarding path regions without permanently blocking foraging.,partial,"{""control_mean_hazard_occupancy"": 42.074, ""avoid_mean_hazard_occupancy"": 37.037, ""avoid_vs_control_occupancy_ratio"": 0.8803, ""control_mean_food_trips"": 13.333, ""avoid_mean_food_trips"": 16.333, ""avoid_mean_avoid_pheromone"": 28.0}","The simulator has an avoid field, but it is not yet paired with individual learning or neural-controller adaptation as in the paper."
aswale_2022,Aswale et al. 2022,misleading_pheromone_attack_and_caution,"Misleading food pheromone should disrupt foraging; a cautionary/avoid signal should limit, but not necessarily eliminate, the disruption.",partial,"{""control_mean_food_trips"": 3.333, ""attack_mean_food_trips"": 6.0, ""caution_mean_food_trips"": 4.333, ""attack_vs_control_trip_ratio"": 1.8, ""caution_vs_attack_trip_ratio"": 0.7222, ""attack_mean_fake_path_occupancy"": 41.0, ""caution_mean_fake_path_occupancy"": 38.022}","The current attack is a static fake trail rather than active detractor agents, and the avoid field is only a proxy for cautionary pheromone."
jackson_chaline_2007,Jackson & Chaline 2007,food_quality_recruitment,Higher-quality food should produce stronger recruitment or higher-quality-biased collection than lower-quality food at comparable access cost.,pass,"{""mean_high_quality_food_trips"": 12.667, ""mean_low_quality_food_trips"": 8.333, ""mean_avg_collected_food_quality"": 1.3243, ""mean_high_source_food_pheromone"": 80.667, ""mean_low_source_food_pheromone"": 48.0}","The simulator now has food quality and quality-weighted recruitment, but it still lacks species-specific sucrose concentration calibration and direct trail-laying event counts."
avanzi_2024,"Avanzi, Lisart & Detrain 2024",necrophoresis_cleanup_latency,Workers should respond to corpse/death chemical cues and progressively remove corpses from the nest area.,pass,"{""mean_initial_nest_corpses"": 36.0, ""mean_final_nest_corpses"": 1.333, ""mean_disposed_corpses"": 31.0, ""mean_corpse_moves"": 30.667, ""mean_death_pheromone"": 1752.333}","Corpse relocation is represented, but the simulator still lacks pathogen state, corpse-age chemical profile calibration and colony-level interaction network validation."
