seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,0.5,initial_food,960,180,0,0,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2389598119,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,29,1983,27,0,0,85,87,0.018,240,0,25.6,61.5,0.18,0,0,0,0,0,0,0,0,0,1,205,0,0,0,34,0,122,53,0,27,0,0,0,0,0,34,22738,0,31150,0,0,0
1,low,240,2,2,0.5,relocated_early,220,620,0,0,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1918878454,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,25,1976,36,0,0,84,88,0.018,240,0,25.7,60.7,0.2,0,0,0,0,0,0,0,0,0,0,206,0,0,0,34,0,83,86,0,36,0,0,0,0,0,34,39317,0,30349,0,0,0
1,low,240,2,2,0.5,relocated_late,220,620,47,245,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3092649546,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,248,1952,18,0,0,88,90,0.018,240,0,25.9,59.2,0.24,47,0,47,245,0,11.75,0,0,0,205,1,0,0,0,34,0,36,133,0,18,0,0,0,0,0,34,26644,0,26538,0,0,0
1,low,240,2,2,0.5,relocated_total,220,620,47,245,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3092649546,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,248,1952,18,0,0,88,90,0.018,240,0,25.9,59.2,0.24,47,0,47,245,0,11.75,0,0,0,205,1,0,0,0,34,0,36,133,0,18,0,0,0,0,0,34,26644,0,26538,0,0,0
2,low,240,2,2,0.5,initial_food,960,180,7,38,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,989911047,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,67,1980,44,0,0,85,88,0.018,240,0,25.6,61.5,0.18,7,0,7,38,0,3.5,0,0,0,198,6,0,0,0,36,0,85,72,0,44,0,0,0,0,0,36,39359,0,28975,0,0,0
2,low,240,2,2,0.5,relocated_early,220,620,1,3,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3178873215,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,67,1976,52,0,0,85,88,0.018,240,0,25.7,60.7,0.2,8,0,8,41,0,3.2,0,0,0,198,6,0,0,0,36,0,59,93,0,52,0,0,0,0,0,36,45544,0,27380,0,0,0
2,low,240,2,2,0.5,relocated_late,220,620,42,195,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3487476867,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,250,1959,19,0,0,87,89,0.018,240,0,25.9,59.2,0.24,50,0,50,236,0,12.5,0,0,0,202,2,0,0,0,36,0,18,152,0,19,0,0,0,0,0,36,44684,0,28950,0,0,0
2,low,240,2,2,0.5,relocated_total,220,620,43,198,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3487476867,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,250,1959,19,0,0,87,89,0.018,240,0,25.9,59.2,0.24,50,0,50,236,0,12.5,0,0,0,202,2,0,0,0,36,0,18,152,0,19,0,0,0,0,0,36,44684,0,28950,0,0,0
3,low,240,2,2,0.5,initial_food,960,180,1,5,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4009662904,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,33,1980,57,0,0,85,88,0.018,240,0,25.6,61.5,0.18,1,0,1,5,0,0.5,0,0,0,35,182,0,0,0,23,0,91,68,0,57,0,0,0,0,0,23,42784,0,30191,0,0,0
3,low,240,2,2,0.5,relocated_early,220,620,0,0,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1727546811,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,27,1972,60,0,0,86,89,0.018,240,0,25.7,60.7,0.2,1,0,1,5,0,0.4,0,0,0,12,205,0,0,0,23,0,76,80,0,60,0,0,0,0,0,23,44269,0,28438,0,0,0
3,low,240,2,2,0.5,relocated_late,220,620,66,336,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2548880014,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,346,1953,14,0,0,89,90,0.018,240,0,25.9,59.2,0.24,67,0,67,341,0,16.75,0,0,0,217,0,0,0,0,23,0,110,79,0,14,0,0,0,0,0,23,18361,0,30182,0,0,0
3,low,240,2,2,0.5,relocated_total,220,620,66,336,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2548880014,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,346,1953,14,0,0,89,90,0.018,240,0,25.9,59.2,0.24,67,0,67,341,0,16.75,0,0,0,217,0,0,0,0,23,0,110,79,0,14,0,0,0,0,0,23,18361,0,30182,0,0,0
4,low,240,2,2,0.5,initial_food,960,180,1,6,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2719050963,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,35,1982,49,0,0,84,88,0.018,240,0,25.6,61.5,0.17,1,0,1,6,0,0.5,0,0,0,35,177,0,0,0,28,0,81,78,0,49,0,0,0,0,0,28,43886,0,30061,0,0,0
4,low,240,2,2,0.5,relocated_early,220,620,2,9,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3498653304,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,39,1975,54,0,0,84,89,0.018,240,0,25.7,60.7,0.2,3,0,3,15,0,1.2,0,0,0,39,173,0,0,0,28,0,52,104,0,54,0,0,0,0,0,28,52334,0,28413,0,0,0
4,low,240,2,2,0.5,relocated_late,220,620,55,281,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,263576069,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,299,1950,1,0,0,88,91,0.018,240,0,25.9,59.2,0.24,58,0,58,296,0,14.5,0,0,0,212,0,0,0,0,28,0,78,118,0,1,0,0,0,0,0,28,15633,0,28483,0,0,0
4,low,240,2,2,0.5,relocated_total,220,620,57,290,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,263576069,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,299,1950,1,0,0,88,91,0.018,240,0,25.9,59.2,0.24,58,0,58,296,0,14.5,0,0,0,212,0,0,0,0,28,0,78,118,0,1,0,0,0,0,0,28,15633,0,28483,0,0,0
5,low,240,2,2,0.5,initial_food,960,180,2,11,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,955719056,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,40,1979,54,0,0,85,87,0.018,240,0,25.6,61.5,0.18,2,0,2,11,0,1,0,0,0,97,111,0,0,0,32,0,84,70,0,54,0,0,0,0,0,32,38639,0,29153,0,0,0
5,low,240,2,2,0.5,relocated_early,220,620,2,12,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1399921546,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,50,1975,56,0,0,85,87,0.018,240,0,25.7,60.7,0.2,4,0,4,23,0,1.6,0,0,0,104,104,0,0,0,32,0,51,98,0,56,0,0,0,0,0,32,56689,0,27213,0,0,0
5,low,240,2,2,0.5,relocated_late,220,620,45,228,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3006994640,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,268,1958,17,0,0,87,89,0.018,240,0,25.9,59.2,0.24,49,0,49,251,0,12.25,0,0,0,198,10,0,0,0,32,0,7,165,0,17,0,0,0,0,0,32,58926,0,28216,0,0,0
5,low,240,2,2,0.5,relocated_total,220,620,47,240,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3006994640,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,268,1958,17,0,0,87,89,0.018,240,0,25.9,59.2,0.24,49,0,49,251,0,12.25,0,0,0,198,10,0,0,0,32,0,7,165,0,17,0,0,0,0,0,32,58926,0,28216,0,0,0
1,medium,240,2,2,0.5,initial_food,960,180,7,35,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2775918439,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,63,1979,28,0,0,85,88,0.055,0,0,25.6,61.5,0.18,7,0,7,35,0,3.5,0,0,0,192,14,0,0,0,34,0,122,54,0,28,0,0,0,0,0,34,29592,0,30631,0,0,0
1,medium,240,2,2,0.5,relocated_early,220,620,2,11,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3811166433,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,71,1975,40,0,0,85,88,0.055,0,0,25.7,60.7,0.2,9,0,9,46,0,3.6,0,0,0,196,10,0,0,0,34,0,76,83,0,40,0,0,0,0,0,34,49951,0,29596,0,0,0
1,medium,240,2,2,0.5,relocated_late,220,620,24,117,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,249901576,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,175,1959,49,0,0,86,89,0.055,0,0,25.9,59.2,0.24,33,0,33,163,0,8.25,0,0,0,198,8,0,0,0,34,0,70,77,0,49,0,0,0,0,0,34,60674,0,26483,0,0,0
1,medium,240,2,2,0.5,relocated_total,220,620,26,128,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,249901576,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,175,1959,49,0,0,86,89,0.055,0,0,25.9,59.2,0.24,33,0,33,163,0,8.25,0,0,0,198,8,0,0,0,34,0,70,77,0,49,0,0,0,0,0,34,60674,0,26483,0,0,0
2,medium,240,2,2,0.5,initial_food,960,180,10,53,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3355673829,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,82,1979,27,0,0,86,88,0.055,0,0,25.6,61.5,0.18,10,0,10,53,0,5,0,0,0,199,5,0,0,0,36,0,140,33,0,27,0,0,0,0,0,36,24652,0,30613,0,0,0
2,medium,240,2,2,0.5,relocated_early,220,620,6,28,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1297407221,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,108,1976,30,0,0,86,88,0.055,0,0,25.7,60.7,0.2,16,0,16,81,0,6.4,0,0,0,200,4,0,0,0,36,0,94,72,0,30,0,0,0,0,0,36,37667,0,30233,0,0,0
2,medium,240,2,2,0.5,relocated_late,220,620,8,39,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1222279339,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,135,1959,51,0,0,86,89,0.055,0,0,25.9,59.2,0.24,24,0,24,120,0,6,0,0,0,200,4,0,0,0,36,0,60,88,0,51,0,0,0,0,0,36,64433,0,27190,0,0,0
2,medium,240,2,2,0.5,relocated_total,220,620,14,67,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1222279339,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,135,1959,51,0,0,86,89,0.055,0,0,25.9,59.2,0.24,24,0,24,120,0,6,0,0,0,200,4,0,0,0,36,0,60,88,0,51,0,0,0,0,0,36,64433,0,27190,0,0,0
3,medium,240,2,2,0.5,initial_food,960,180,21,96,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2715957755,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,123,1979,31,0,0,87,88,0.055,0,0,25.6,61.5,0.18,21,0,21,96,0,10.5,0,0,0,211,6,0,0,0,23,0,124,57,0,31,0,0,0,0,0,23,29353,0,31925,0,0,0
3,medium,240,2,2,0.5,relocated_early,220,620,7,31,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,850594708,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,152,1974,36,0,0,87,88,0.055,0,0,25.7,60.7,0.2,28,0,28,127,0,11.2,0,0,0,213,4,0,0,0,23,0,98,74,0,36,0,0,0,0,0,23,41787,0,31480,0,0,0
3,medium,240,2,2,0.5,relocated_late,220,620,17,77,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,554554168,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,218,1956,46,0,0,87,90,0.055,0,0,25.9,59.2,0.24,45,0,45,204,0,11.25,0,0,0,213,4,0,0,0,23,0,56,106,0,46,0,0,0,0,0,23,70112,0,28742,0,0,0
3,medium,240,2,2,0.5,relocated_total,220,620,24,108,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,554554168,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,218,1956,46,0,0,87,90,0.055,0,0,25.9,59.2,0.24,45,0,45,204,0,11.25,0,0,0,213,4,0,0,0,23,0,56,106,0,46,0,0,0,0,0,23,70112,0,28742,0,0,0
4,medium,240,2,2,0.5,initial_food,960,180,7,38,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2290829438,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,67,1982,22,0,0,85,88,0.055,0,0,25.6,61.5,0.18,7,0,7,38,0,3.5,0,0,0,167,45,0,0,0,28,0,137,52,0,22,0,0,0,0,0,28,21409,0,32287,0,0,0
4,medium,240,2,2,0.5,relocated_early,220,620,3,12,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1976012503,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,77,1979,25,0,0,84,88,0.055,0,0,25.7,60.7,0.2,10,0,10,50,0,4,0,0,0,200,12,0,0,0,28,0,112,69,0,25,0,0,0,0,0,28,32213,0,32272,0,0,0
4,medium,240,2,2,0.5,relocated_late,220,620,4,22,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1467996747,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,83,1960,38,0,0,85,90,0.055,0,0,25.9,59.2,0.24,14,0,14,72,0,3.5,0,0,0,201,11,0,0,0,28,0,76,92,0,38,0,0,0,0,0,28,45357,0,30430,0,0,0
4,medium,240,2,2,0.5,relocated_total,220,620,7,34,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1467996747,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,83,1960,38,0,0,85,90,0.055,0,0,25.9,59.2,0.24,14,0,14,72,0,3.5,0,0,0,201,11,0,0,0,28,0,76,92,0,38,0,0,0,0,0,28,45357,0,30430,0,0,0
5,medium,240,2,2,0.5,initial_food,960,180,2,8,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2313178572,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,35,1977,35,0,0,85,88,0.055,0,0,25.6,61.5,0.18,2,0,2,8,0,1,0,0,0,22,186,0,0,0,32,0,127,43,0,35,0,0,0,0,0,32,32308,0,30594,0,0,0
5,medium,240,2,2,0.5,relocated_early,220,620,4,17,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4020283847,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,49,1972,37,0,0,85,88,0.055,0,0,25.7,60.7,0.2,6,0,6,25,0,2.4,0,0,0,117,91,0,0,0,32,0,95,73,0,37,0,0,0,0,0,32,46688,0,29750,0,0,0
